id,SpecificationName,SpecificationValue,ShowInFilter,CategoryId,ProductId,SpecificationId
1,Color,Black,1,4,1,1
4,RAM,16 GB,1,4,1,10
12,Weight,450gm,1,4,1,16
14,Processor,Core I-7,1,4,1,9
15,Screen,14 inches,1,4,1,12
16,Graphic Card,GTX 1660 Ti ,1,4,1,2
17,USB,USB 3.1,1,4,1,15
18,Hard,"512 GB
",1,4,1,3
19,Memory Technology,"DDR4
",1,4,1,5
22,Touch screen,Yes,1,4,1,13
23,Keyboard Languages,English & Arabic,1,4,1,4
24,Package height,32 centimeters,0,4,1,7
25,Package Width,"47.5 centimeters
",0,4,1,8
26,RAM Type,ddr4_sdram,1,4,1,11
28,Color,Black,1,4,2,1
29,,8 GB,1,4,2,10
30,,2904 grams,1,4,2,16
31,,Core I-5,1,4,2,9
32,,15.6 inches,1,4,2,12
33,,GTX 1660 Ti ,1,4,2,2
34,,USB 3.2,1,4,2,15
35,,1 TB,1,4,2,3
36,,"DDR4
",1,4,2,5
38,,Without Optical Drive,1,4,2,6
39,,No,1,4,2,13
40,,English & Arabic Backlit KB,1,4,2,4
41,,7.2 centimeters,0,4,2,7
42,,28.6 centimeters,0,4,2,8
43,,ddr4_sdram,1,4,2,11
45,,Silver,1,5,3,1
46,,4 GB,1,5,3,10
47,,450gm,1,5,3,16
48,,Core I-7,1,5,3,9
51,,USB 3.2,1,5,3,15
52,,320 GB,1,5,3,3
53,,"DDR4
",1,5,3,5
55,,DVD-Writer,1,5,3,6
56,,No,1,5,3,13
57,,English & Arabic,1,5,3,4
60,,ddr4_sdram,1,5,3,11
62,,Black,1,5,4,1
63,,"4 GB
",1,5,4,10
64,,7290 grams,1,5,4,16
65,,Intel Core i5,1,5,4,9
66,,14 inches,1,5,4,12
67,,Shared - Built i,1,5,4,2
68,,USB 3.2,1,5,4,15
69,,1 TB,1,5,4,3
75,,23.6 centimeters,0,5,4,7
76,,43.8 centimeters,0,5,4,8
79,,Black,1,4,10,1
80,,4GB,1,4,10,10
81,,450gm,1,4,10,16
82,,Core I-7,1,4,10,9
83,,14 inches,1,4,10,12
84,,GTX 1660 Ti ,1,4,10,2
85,,USB 3.2,1,4,10,15
86,,PCIe & Serial ATA,1,4,10,3
87,,"DDR4
",1,4,10,5
88,,Gaming,1,4,10,14
89,,DVD-Writer,1,4,10,6
90,,No,1,4,10,13
91,,English & Arabic,1,4,10,4
92,,5.4 centimeters,0,4,10,7
93,,10.6 centimeters,0,4,10,8
94,,ddr4_sdram,1,4,10,11
96,,Black,1,4,19,1
97,,4GB,1,4,19,10
98,,450gm,1,4,19,16
99,,Core I-7,1,4,19,9
100,,14 inches,1,4,19,12
101,,GTX 1660 Ti ,1,4,19,2
102,,USB 3.2,1,4,19,15
103,,PCIe & Serial ATA,1,4,19,3
104,,"DDR4
",1,4,19,5
105,,Gaming,1,4,19,14
106,,DVD-Writer,1,4,19,6
107,,No,1,4,19,13
108,,English & Arabic,1,4,19,4
109,,5.4 centimeters,0,4,19,7
110,,10.6 centimeters,0,4,19,8
111,,ddr4_sdram,1,4,19,11
113,,Grey,1,4,9,1
114,,12 GB,1,4,9,10
115,,3544 grams,1,4,9,16
116,,Quad Core,1,4,9,9
117,,13 - 13.9 Inch,1,4,9,12
118,,Shared - Built i,1,4,9,2
119,,USB 3.1,1,4,9,15
120,,512 GB,1,4,9,3
121,,"DDR4
",1,4,9,5
123,,DVD-Writer,1,4,9,6
